Date,Country,Price(USD)
05-08-2021,Poland,2.279317477
25-08-2019,Argentina,3.425205229
19-06-2021,Austria,2.4767655
15-01-2017,UK,6.236896412
13-11-2019,Singapore,2.108571828
03-04-2016,Nepal,1.722478756
16-05-2016,UK,3.030465824
28-01-2023,Singapore,5.714131103
22-05-2018,Singapore,2.891863555
10-08-2022,Poland,6.409274815
18-08-2022,Nepal,3.043084354
05-05-2015,Germany,3.447334958
13-07-2019,USA,6.81165157
24-07-2020,India,6.386975765
24-03-2015,Brazil,3.445099392
20-09-2023,Austria,8.200491505
24-10-2017,Brazil,2.215471936
21-11-2019,Nepal,2.177014638
13-06-2023,Brazil,5.72608222
14-01-2015,USA,6.608122507
18-08-2021,Singapore,2.37378314
20-01-2021,Nepal,2.051601387
03-07-2017,China,7.30583265
23-10-2015,Germany,7.698162236
25-04-2017,Brazil,5.541465017
23-09-2019,Argentina,1.986886042
02-11-2019,Poland,3.09528793
27-06-2023,China,8.396550645
06-11-2016,Austria,7.565385667
19-08-2015,Nepal,3.445815222
08-12-2021,Poland,7.338772986
20-05-2015,India,4.09126677
06-09-2016,Austria,6.191226221
17-10-2022,Argentina,8.056582114
05-08-2018,Poland,1.999817567
23-09-2017,Poland,2.697970537
21-04-2021,Argentina,3.213676476
14-03-2015,Canada,4.156188092
22-09-2020,Poland,6.317133709
08-07-2022,Austria,6.292299757
03-06-2017,USA,3.103336504
19-11-2017,USA,7.135320605
19-10-2019,Nepal,3.374186132
21-12-2019,Austria,7.891952869
05-04-2020,Germany,7.634573385
27-03-2017,Brazil,2.988385808
16-04-2019,Canada,4.269423307
09-12-2022,Poland,4.711962968
08-04-2019,China,2.477412237
28-09-2020,Argentina,5.429576939
31-03-2015,China,6.729096682
24-09-2018,Nepal,7.784760185
11-07-2015,Nepal,4.033975106
19-06-2018,India,5.066684056
30-03-2016,UK,6.790475103
18-09-2016,UK,2.569889235
08-03-2018,India,7.044555551
17-02-2016,Nepal,5.674863215
02-03-2017,Nepal,4.171335006
29-06-2017,Canada,5.203800416
26-06-2022,Singapore,7.525457916
08-09-2022,USA,6.261983872
05-11-2018,UK,6.271972583
01-11-2017,Singapore,6.756144597
04-01-2015,Poland,3.881228311
15-04-2015,China,4.543356755
22-11-2019,Canada,1.522717213
16-05-2016,Argentina,7.630970583
28-03-2017,China,8.303216692
28-12-2016,India,5.053771722
08-04-2019,UK,7.593629989
24-02-2018,China,7.391685437
03-02-2019,Singapore,5.76279148
17-07-2018,India,4.117396968
30-07-2016,India,5.275653211
25-12-2019,Singapore,7.929454461
28-11-2021,Germany,3.769092399
26-09-2018,USA,2.283074077
10-01-2022,Brazil,7.651053145
27-03-2019,China,3.176166172
06-12-2015,Austria,7.646067194
12-05-2017,UK,2.099574164
05-12-2016,Canada,7.212162774
20-12-2020,Singapore,6.860841005
14-03-2017,India,6.118255759
30-06-2019,Singapore,2.655888713
05-08-2022,Singapore,7.607031288
02-11-2019,Nepal,8.250540342
22-10-2019,Singapore,6.786856376
09-08-2023,Argentina,2.908057444
13-12-2018,China,4.2929461
13-05-2020,Poland,6.049146403
08-09-2023,Canada,7.797298593
10-10-2016,Canada,2.347029371
22-02-2022,Austria,1.948181274
14-02-2023,USA,5.618161029
01-12-2016,Austria,5.619080801
04-05-2018,USA,1.996951602
23-11-2015,Poland,1.912116368
