Company,Sector,Industry,Revenue,Profits,Employees
WALMART,Technology,General,413389,43098,44628
GOOGLE,Banking,Petroleum,834570,82482,35697
TESLA,Automobile,General,156244,23280,44328
MICROSOFT,Pharma,General,713508,37062,76925
WALMART,Banking,Vehicle Manufacturing,356148,69878,68618
ADOBE,Healthcare,General,292414,66392,52298
ADOBE,Retailing,Healthcare,477944,24396,36078
NETFLIX,Technology,Banking Sector,485663,90131,47335
APPLE,Banking,Software,687275,27361,54807
IBM,Pharma,Pharmaceutical,784176,92070,88028
ORACLE,Pharma,Healthcare,197933,17006,73336
MICROSOFT,Healthcare,Pharmaceutical,208667,41512,86785
IBM,Automobile,Pharmaceutical,600435,94320,84664
ORACLE,Retailing,Banking Sector,497528,38460,73920
ADOBE,Banking,Petroleum,763720,94227,41215
AMAZON,Banking,Healthcare,296339,71589,54867
ADOBE,Banking,Healthcare,842870,53504,85237
APPLE,Retailing,General,455776,63581,47546
IBM,Retailing,Banking Sector,347955,76435,55928
WALMART,Automobile,Stocks,402746,29301,46162
AMAZON,Pharma,Pharmaceutical,737982,67155,88839
TESLA,Automobile,Banking Sector,354974,29131,63392
META,Technology,General,239975,31033,71120
GOOGLE,Healthcare,Vehicle Manufacturing,750380,19326,55216
NETFLIX,Pharma,Software,679816,43953,66256
APPLE,Banking,Petroleum,839825,81381,79209
ADOBE,Healthcare,Banking Sector,241970,49469,58492
GOOGLE,Automobile,General,401183,76612,79935
GOOGLE,Pharma,Petroleum,780674,50117,85159
WALMART,Pharma,Healthcare,285263,60009,79971
GOOGLE,Pharma,General,753038,53487,62021
APPLE,Technology,Banking Sector,447451,42385,33796
MICROSOFT,Pharma,Petroleum,214814,74699,83478
IBM,Healthcare,Stocks,259628,73296,66031
GOOGLE,Energy,Vehicle Manufacturing,347086,81686,79497
MICROSOFT,Banking,Pharmaceutical,543373,59944,58711
AMAZON,Automobile,Petroleum,384947,40451,34196
ORACLE,Technology,Healthcare,742024,39864,30471
IBM,Banking,General,365062,19834,89337
APPLE,Healthcare,Banking Sector,199299,78391,45597
ADOBE,Banking,Software,349643,81678,38671
TESLA,Pharma,Software,379801,72993,82920
NETFLIX,Retailing,Petroleum,226639,67498,53219
NETFLIX,Automobile,Software,181802,23899,33972
NETFLIX,Banking,Banking Sector,239576,43591,42556
MICROSOFT,Pharma,Software,271991,66296,42025
ADOBE,Automobile,Healthcare,204046,69082,82954
AMAZON,Technology,General,808823,81855,84789
APPLE,Technology,Healthcare,299389,64269,61826
META,Retailing,Vehicle Manufacturing,186483,32579,54836
APPLE,Automobile,Pharmaceutical,602110,48388,57722
AMAZON,Banking,Software,287316,35890,49445
MICROSOFT,Technology,General,453838,18492,33286
TESLA,Automobile,Stocks,184642,77562,35250
GOOGLE,Technology,Petroleum,833011,41828,56461
IBM,Pharma,Healthcare,732040,88924,32604
TESLA,Technology,Vehicle Manufacturing,814305,87503,67042
AMAZON,Energy,Pharmaceutical,339181,52180,45642
ADOBE,Automobile,Stocks,829318,50321,59964
ORACLE,Healthcare,Petroleum,134767,71068,70708
TESLA,Technology,Petroleum,688750,38938,63153
ADOBE,Retailing,Banking Sector,197132,43018,54217
ADOBE,Retailing,Software,694605,50651,70086
WALMART,Pharma,General,825305,83692,49620
WALMART,Technology,Stocks,402312,26129,88308
IBM,Banking,Stocks,410577,47930,69638
MICROSOFT,Banking,Banking Sector,338487,94130,85896
ADOBE,Pharma,Software,388319,17658,36048
WALMART,Automobile,Pharmaceutical,171228,11464,51859
GOOGLE,Banking,Pharmaceutical,294430,68912,66154
NETFLIX,Pharma,General,242308,20862,87875
GOOGLE,Pharma,General,512151,87350,66210
GOOGLE,Automobile,Stocks,168860,51404,53897
APPLE,Energy,Healthcare,840198,43706,73708
IBM,Energy,Vehicle Manufacturing,775810,31257,45514
GOOGLE,Healthcare,Stocks,557322,14248,41754
ORACLE,Healthcare,Vehicle Manufacturing,827448,43527,47485
GOOGLE,Healthcare,Petroleum,526124,16075,86268
META,Retailing,Healthcare,607662,56830,50000
MICROSOFT,Retailing,General,817094,36313,56113
ORACLE,Energy,Petroleum,417683,57025,72040
AMAZON,Automobile,Banking Sector,153941,26118,87477
ADOBE,Retailing,Pharmaceutical,165115,25208,69096
NETFLIX,Energy,Banking Sector,582592,90457,63516
IBM,Automobile,Healthcare,392095,16817,76450
NETFLIX,Technology,Healthcare,506913,67531,34585
WALMART,Energy,Banking Sector,820612,27334,77169
ADOBE,Pharma,Pharmaceutical,824287,64528,51376
NETFLIX,Banking,Pharmaceutical,706343,27683,42572
NETFLIX,Banking,Vehicle Manufacturing,835219,33810,70338
TESLA,Energy,Vehicle Manufacturing,699553,11053,49914
ADOBE,Retailing,Vehicle Manufacturing,733158,90516,72906
ORACLE,Automobile,Software,588638,39010,63500
META,Healthcare,Stocks,815855,22114,48598
AMAZON,Banking,Banking Sector,222923,41784,74092
ADOBE,Retailing,Healthcare,279511,14201,33028
MICROSOFT,Automobile,Petroleum,602538,65321,88073
WALMART,Pharma,Healthcare,527630,75799,56191
MICROSOFT,Retailing,General,236764,66724,44341
GOOGLE,Healthcare,Software,177657,84060,46331
IBM,Automobile,Stocks,612213,80616,66629
TESLA,Energy,Software,767412,77162,57966
AMAZON,Automobile,Stocks,622732,69991,46986
MICROSOFT,Healthcare,Pharmaceutical,671622,74517,71074
MICROSOFT,Energy,Software,206247,48450,45367
ADOBE,Energy,Banking Sector,691390,21561,39068
GOOGLE,Retailing,Vehicle Manufacturing,285227,39043,34209
NETFLIX,Automobile,Banking Sector,693969,72069,57248
APPLE,Retailing,Vehicle Manufacturing,533396,87556,75581
APPLE,Healthcare,Vehicle Manufacturing,625149,11772,53052
ADOBE,Healthcare,Vehicle Manufacturing,564375,81545,78989
AMAZON,Healthcare,Healthcare,636945,39760,47887
NETFLIX,Automobile,General,532746,55057,73835
WALMART,Healthcare,Vehicle Manufacturing,298061,72261,38364
TESLA,Pharma,General,538160,88580,66987
WALMART,Technology,Petroleum,798971,67179,38893
META,Retailing,General,397793,60689,51453
MICROSOFT,Automobile,Banking Sector,478894,60692,48235
NETFLIX,Energy,Petroleum,618152,13540,79088
AMAZON,Technology,Banking Sector,360113,19993,81198
WALMART,Technology,General,384295,37130,84999
APPLE,Pharma,Stocks,375132,27544,61035
WALMART,Technology,Healthcare,612623,44586,80259
ORACLE,Retailing,Petroleum,296720,51768,37084
TESLA,Technology,Pharmaceutical,728766,60192,55995
MICROSOFT,Technology,Healthcare,231851,50529,85724
WALMART,Pharma,Petroleum,718423,16383,52754
AMAZON,Automobile,Banking Sector,197306,77317,72437
ORACLE,Technology,Vehicle Manufacturing,639013,24833,58411
ORACLE,Banking,Software,285422,68080,41543
AMAZON,Banking,Pharmaceutical,770830,81539,80766
META,Automobile,Vehicle Manufacturing,746254,46179,51122
MICROSOFT,Healthcare,Petroleum,417477,70087,45981
META,Pharma,Vehicle Manufacturing,477737,14761,62394
ORACLE,Retailing,Software,347423,57507,82286
ADOBE,Energy,Pharmaceutical,750113,47211,66424
APPLE,Pharma,Healthcare,214771,42635,77190
NETFLIX,Automobile,Healthcare,849156,73402,72329
META,Automobile,General,222573,49566,44522
NETFLIX,Banking,Healthcare,446080,87225,54184
META,Pharma,Banking Sector,571173,83140,51678
ORACLE,Banking,Software,409076,51189,46475
MICROSOFT,Technology,Healthcare,455876,26670,78685
AMAZON,Healthcare,Stocks,325845,39361,78405
META,Energy,Pharmaceutical,230409,36443,49414
MICROSOFT,Energy,Stocks,441950,12854,76400
AMAZON,Retailing,Pharmaceutical,172726,18146,66264
ADOBE,Banking,Stocks,793854,75340,36723
APPLE,Pharma,Pharmaceutical,617198,73746,58866
ORACLE,Retailing,General,389742,73616,37476
IBM,Automobile,Software,202680,86631,71251
WALMART,Technology,Stocks,281445,84772,49912
IBM,Retailing,Petroleum,710181,65548,69735
TESLA,Healthcare,Healthcare,672957,60856,59524
META,Energy,Vehicle Manufacturing,445214,85531,70699
APPLE,Pharma,Petroleum,342881,92987,43829
ADOBE,Banking,Petroleum,289686,42439,41391
AMAZON,Technology,Stocks,127805,64545,59524
TESLA,Automobile,Pharmaceutical,159225,41340,48881
ADOBE,Banking,Software,199637,41595,47337
WALMART,Pharma,Healthcare,570790,26043,65688
MICROSOFT,Banking,Stocks,403535,29643,34679
APPLE,Retailing,Pharmaceutical,748948,85607,48914
META,Technology,Software,847131,50857,75857
NETFLIX,Energy,Software,584023,21543,69192
APPLE,Automobile,Banking Sector,758039,43816,31695
IBM,Retailing,General,829938,46325,67764
APPLE,Healthcare,Stocks,618355,79021,72697
META,Energy,Stocks,738762,68132,71601
META,Technology,Software,489863,64523,51843
ORACLE,Banking,Petroleum,293637,54228,56977
META,Energy,Vehicle Manufacturing,701818,15809,59807
IBM,Energy,Pharmaceutical,463977,26194,80629
NETFLIX,Healthcare,General,814606,82118,60276
NETFLIX,Technology,Healthcare,668623,58419,70804
META,Banking,Software,179118,37680,47501
AMAZON,Retailing,Pharmaceutical,584398,74532,37957
APPLE,Banking,Healthcare,291071,51730,66099
APPLE,Pharma,Vehicle Manufacturing,222736,40451,85142
IBM,Automobile,Petroleum,804172,31181,62661
ADOBE,Pharma,Pharmaceutical,560673,74242,60947
MICROSOFT,Automobile,Stocks,527219,35983,69280
AMAZON,Banking,Stocks,198201,47208,80638
NETFLIX,Energy,Pharmaceutical,127689,48072,77582
ADOBE,Healthcare,Software,280813,69529,65296
META,Energy,Banking Sector,703727,82228,54720
META,Energy,Healthcare,375405,85946,55098
MICROSOFT,Healthcare,Vehicle Manufacturing,170767,52704,78804
META,Banking,Vehicle Manufacturing,529832,30936,62461
APPLE,Retailing,Banking Sector,230239,68711,36534
AMAZON,Automobile,General,276157,64736,87077
WALMART,Retailing,Petroleum,617296,45737,52187
TESLA,Banking,Vehicle Manufacturing,806403,21527,85821
ORACLE,Healthcare,Vehicle Manufacturing,457043,93155,77101
META,Healthcare,General,772453,19968,45385
WALMART,Banking,Pharmaceutical,363536,22846,58440
IBM,Healthcare,Petroleum,590230,32805,75482
ADOBE,Technology,General,465131,18355,49226
ORACLE,Energy,Vehicle Manufacturing,277640,43007,64810
NETFLIX,Pharma,Stocks,303240,33946,35175
TESLA,Healthcare,Vehicle Manufacturing,774813,42566,62615
TESLA,Retailing,Healthcare,608550,94611,46644
META,Energy,General,612853,48700,74407
AMAZON,Retailing,Petroleum,588187,56293,68507
ADOBE,Banking,Vehicle Manufacturing,848846,43780,59939
ADOBE,Retailing,Vehicle Manufacturing,631680,24979,45545
NETFLIX,Pharma,Banking Sector,727733,49780,75827
ADOBE,Technology,Vehicle Manufacturing,412813,12061,67088
WALMART,Healthcare,General,760863,76107,84580
ADOBE,Healthcare,Healthcare,761553,57179,44352
WALMART,Retailing,Pharmaceutical,835687,28927,71172
IBM,Banking,General,448939,68779,32186
TESLA,Energy,Stocks,219511,49680,51411
NETFLIX,Retailing,Healthcare,263579,81701,87439
ORACLE,Pharma,Pharmaceutical,297537,44681,89903
META,Healthcare,Pharmaceutical,480168,26095,60692
IBM,Retailing,Healthcare,834176,63089,85426
AMAZON,Energy,Petroleum,538741,12824,47331
AMAZON,Technology,Software,511490,45362,68309
NETFLIX,Healthcare,Banking Sector,238609,41647,60898
APPLE,Pharma,Banking Sector,764717,40015,72444
IBM,Banking,Software,441869,64516,37646
GOOGLE,Technology,General,444149,75569,37610
IBM,Retailing,Stocks,532524,70459,54314
WALMART,Banking,Vehicle Manufacturing,740870,31253,88026
NETFLIX,Banking,Petroleum,638117,91694,56746
ADOBE,Technology,Banking Sector,352823,69115,59143
MICROSOFT,Healthcare,Banking Sector,229180,59147,65682
WALMART,Energy,General,542479,47160,42439
IBM,Healthcare,Software,221126,38801,72054
WALMART,Pharma,General,178035,54713,45962
GOOGLE,Healthcare,Healthcare,196942,83641,43576
TESLA,Retailing,Healthcare,469519,30340,81684
TESLA,Technology,Pharmaceutical,276716,28038,65403
ADOBE,Healthcare,Stocks,240266,14379,38637
APPLE,Energy,Healthcare,742457,53437,31034
GOOGLE,Energy,General,257915,66176,64477
IBM,Banking,Petroleum,624380,69756,80988
ORACLE,Pharma,Petroleum,598962,77039,44519
TESLA,Technology,Pharmaceutical,605292,15082,33986
META,Healthcare,Vehicle Manufacturing,571980,25150,62130
META,Technology,Petroleum,462758,90730,39721
IBM,Retailing,Pharmaceutical,779644,93978,68362
AMAZON,Banking,Banking Sector,524407,89301,64770
ADOBE,Automobile,Vehicle Manufacturing,228996,25996,85888
WALMART,Banking,Healthcare,575961,70186,88201
MICROSOFT,Automobile,Banking Sector,600528,63262,57262
IBM,Energy,Vehicle Manufacturing,452704,44408,54530
GOOGLE,Banking,Software,195394,22957,84511
IBM,Technology,Vehicle Manufacturing,226255,59843,83200
GOOGLE,Pharma,General,739953,84608,66810
ORACLE,Banking,Petroleum,555764,57346,87252
WALMART,Healthcare,Vehicle Manufacturing,178945,48700,69348
ADOBE,Energy,Petroleum,730991,77507,43942
GOOGLE,Banking,Software,360137,25184,52945
AMAZON,Energy,Petroleum,417099,86248,44821
NETFLIX,Healthcare,General,763577,46054,31897
GOOGLE,Energy,Pharmaceutical,481331,57009,30400
GOOGLE,Healthcare,Stocks,718830,63531,34560
GOOGLE,Banking,General,221214,80531,44098
NETFLIX,Automobile,Software,482455,31631,54251
ADOBE,Banking,Banking Sector,720164,89148,35567
APPLE,Retailing,Stocks,772850,17522,74169
IBM,Energy,Software,819093,66576,61828
TESLA,Automobile,Vehicle Manufacturing,411436,39255,79475
AMAZON,Technology,Banking Sector,575797,25534,48562
WALMART,Banking,Software,677530,51425,32976
MICROSOFT,Automobile,General,133060,37794,49753
MICROSOFT,Healthcare,Stocks,392931,48938,51503
IBM,Technology,Software,576574,34028,38466
NETFLIX,Pharma,Healthcare,649563,84233,84614
WALMART,Healthcare,Banking Sector,200576,63044,86476
APPLE,Automobile,General,607087,21205,86499
ORACLE,Pharma,Vehicle Manufacturing,726253,64008,76497
WALMART,Automobile,Pharmaceutical,245768,64088,31366
ORACLE,Retailing,Software,848108,58428,35775
NETFLIX,Healthcare,Petroleum,380135,68104,68592
NETFLIX,Pharma,Petroleum,539991,51668,78877
ORACLE,Retailing,Banking Sector,301299,21011,63455
WALMART,Technology,Healthcare,491346,57019,77669
WALMART,Healthcare,Stocks,372745,24474,39597
ADOBE,Retailing,Stocks,756661,31036,79821
WALMART,Technology,Stocks,783452,75764,60405
TESLA,Healthcare,Software,839220,84989,72139
WALMART,Pharma,Banking Sector,782685,52436,39893
META,Technology,Software,588688,93756,49845
ADOBE,Pharma,General,494038,77497,34862
ADOBE,Automobile,Software,164434,18456,54165
ADOBE,Technology,Petroleum,769883,88867,63231
NETFLIX,Automobile,General,596579,85928,72718
MICROSOFT,Energy,Software,650721,30773,34054
META,Technology,Banking Sector,213425,77132,72344
GOOGLE,Technology,Healthcare,584022,68595,64345
AMAZON,Pharma,Stocks,506574,59870,48539
NETFLIX,Automobile,Banking Sector,836875,89366,33431
WALMART,Banking,Banking Sector,194113,54213,36193
AMAZON,Banking,Vehicle Manufacturing,422949,44029,77430
WALMART,Pharma,Stocks,474555,21682,68190
WALMART,Retailing,Banking Sector,450301,62374,38450
TESLA,Banking,Petroleum,449620,84259,54686
WALMART,Healthcare,Banking Sector,259001,79995,36124
WALMART,Banking,Vehicle Manufacturing,658188,58425,31194
ORACLE,Energy,Stocks,349597,55791,80210
META,Retailing,Healthcare,269247,31308,35057
ADOBE,Healthcare,Petroleum,657351,81748,84730
AMAZON,Technology,Banking Sector,773052,28176,69141
NETFLIX,Retailing,Stocks,314630,92885,83021
GOOGLE,Banking,Software,170814,64852,53874
WALMART,Banking,Healthcare,590776,91031,48673
META,Retailing,Healthcare,449500,72474,89242
MICROSOFT,Energy,Software,609106,47932,80995
NETFLIX,Pharma,Vehicle Manufacturing,294930,37174,82511
TESLA,Retailing,Pharmaceutical,179714,73991,87286
ORACLE,Pharma,Petroleum,665970,27341,48681
IBM,Healthcare,Stocks,411042,69893,89330
AMAZON,Retailing,Vehicle Manufacturing,221168,40102,83523
META,Energy,General,560050,17980,55982
AMAZON,Energy,Healthcare,529924,21696,54570
MICROSOFT,Technology,Banking Sector,228896,54947,81863
GOOGLE,Retailing,General,425814,72925,75617
GOOGLE,Healthcare,Software,595392,91654,30344
IBM,Technology,Pharmaceutical,351130,30597,65966
TESLA,Pharma,Vehicle Manufacturing,241587,48762,45573
ADOBE,Technology,General,375021,66027,71874
TESLA,Automobile,Petroleum,241242,76513,69107
AMAZON,Technology,Healthcare,275551,49177,58130
APPLE,Pharma,Banking Sector,377249,85798,57300
GOOGLE,Banking,Petroleum,673913,58265,34435
AMAZON,Pharma,General,534420,72621,32853
WALMART,Automobile,Banking Sector,390971,13128,53402
IBM,Energy,Healthcare,814023,93346,36793
TESLA,Banking,Banking Sector,264890,16811,53088
AMAZON,Energy,Stocks,842941,71899,75573
META,Banking,Stocks,266403,19270,76926
META,Technology,Pharmaceutical,336383,16741,81846
MICROSOFT,Technology,Banking Sector,450138,78552,56098
AMAZON,Automobile,Pharmaceutical,163399,36048,48750
ORACLE,Healthcare,General,812584,54506,47905
IBM,Healthcare,Banking Sector,583176,63431,78713
META,Automobile,Banking Sector,320892,76038,75355
META,Energy,Pharmaceutical,211624,66640,35172
NETFLIX,Pharma,Stocks,696971,49504,51050
IBM,Technology,Banking Sector,818024,49750,50086
META,Pharma,Vehicle Manufacturing,299739,69183,53038
META,Technology,Banking Sector,769718,68008,47993
WALMART,Healthcare,General,203686,94560,56621
ORACLE,Pharma,Stocks,157653,29714,85618
TESLA,Banking,Software,161489,27545,34406
